,Rating,Comment
20,5,Effective
21,5,"my suki onefull life, good package, nothing to say, dont know many times na ako nag order,, sa uulitin ulit
thankyou"
22,5,"9.9 Lazada order 😍came early, thanks for the freebie mask♥️"
23,5,"Maganda ang item, Authentic. I was buying it almost twice a month . 😁😁😁😁😁😁👍👍👍👍👍👍👍👍"
24,5,ntikman ko na sya ok naman sa panlasa ko sana efective sakin fast delevery din sya at may pa
25,5,Mejo sumasakit tlg tian ko pag umiinom nito.. Hahaha.. Ganun tlg pag umiinom aq ng laxative. Original naman siya since trusted ko n ang seller na to and same ng lasa sa dating na bilhan ko. Pwde
26,5,Thankyou po! 🤗🤗
27,5,natanggap qna yong order ko Ang ayos pagkapack walang yupi at may free mask pa thanks 
28,5,"onefull life is the best, thank again for the freebies, fast delivery, nice packaging, sa uulitin
"
29,5,"Very effective.................................................... 
"
30,5,"i been buying this to this seller and it was always packed securely and they always give freebees🥰 God bless u seller
"
31,5,"Thank you 😊😊😊😊"
32,5,"aggaga.  fjdjs.   iddjs iaiw firj fjdjd fidjd dj. j j j jjj jjn nn nnn nn jjj jjj hh hh hhh hh hh hhh"
33,5,"pang ilan order ko na sa shop na ito
sorry now lang napicturan kung kailan ubos na 3boxes po yan
super leggit po at maganda ang packaging
till next po ka full life.
"
34,5,"This is my 1st order from this shop and just like what I've read from previous reviews never fails me super safe ng packaging and I also tried it last night I think may effect agad flush out ako this morning 😂 definitely will order again soon before ko maubos ang 4boxes tapos may freebie pa. Thanks to this shop highly recommended! ♥️"
35,5,"jsjsjjsjsjsjsjjsjajaoaoisisoaoaoajaioaiakoaihahahahauuauauauauauauuauauauauauau"
36,5,"effective po sa akin.."
37,5,"well packed, item was received in good condition, we like it very much. will surely avail next time"
38,5,"items were securely packed well. kudos to the seller because the packaging was great no plastocs even the tape is paper-like. items were sealed "
39,5,"natanggap ko na po..thanks may pa freebie pa 
hopefully may effect to sakin 😊😊"
40,5,"thanks sa seller ganda ng packaging maayos
"
41,5,"Many times nako nag order dto sa shop na to 💯%legit laki na binaba timbang ko😊👏 thank you and sa freebies ❤️ godbless! One full life👍
"
42,5,"Super ganda and legit twice ko pa Lang nagagamit super ganda and effective ❤️❤️❤️❤️❤️❤️
"
43,5,"Fast Delivery.Third order here.Nice packaging."
44,5,"got my order today! and as requested, I also got my freebie.   seller is very responsive. this is my third time to purchase and their service is so impeccable. kudos❤️😊
"
45,5,"This is my second order from this shop. As always, the items were boxed and was delivered immediately. Regarding the product, I thought pangit ang lasa dahil sa kulay nya but it is not that bad. "
46,5,"Thank you seller will order again soon pag naubos and thank you sa rider"
47,5,got my order!thanks s freebies... 
48,5,well pack and kompleto siya..sana effective..😊
49,5,"sorry for my late review . thank u seller & lazada . 
 wel  nagamit. qna tLga sya . so effective po tLga nakkapag padumi tLga sya .    will order again pag naubos na dto ulit sa store na tu.   thank You.  "
50,5,"Good quality po ang product.. maganda din po ang packaging may freebies pa pong kasama.. salamat ONE FULL LIFE
"
51,5,Sobrang legit po ng item nyo at sobrang Ganda po ng mask na freebies nyo SALAMAT po🙂
52,5,"thank you seller bilis ng delivery 2days lng... di ko pa na try ,bukas ko tikman sana magustuhan ko lasa."
53,5,"thank u seller for always giving a freebee 😍🥰 my husband & I love your product, its really effective in releasing toxins. thank u so much. God bless"
54,5,"Thank you seller for the fast transaction. thank you also for the free facemask. till our next transactions."
55,5,"5 star kc ok tong store na ito 2 times ko ng nag order dto satisfied ako s product,at may pa freebi pa c seller at kay kuya delivery salamat kc ang bait nya"
56,5,"mukha nman effective.nang inom ko plng kinabukasan bawas na ng bawas. salamat po sa frebbie."
57,5,Thanks sa libring mask. . . Good packaging 👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍
58,5,"Thank u sa freebies,. gOdbless po
"
59,5,"So happy for my purchase! 😊😊😊 Thank you! For the freebie! ❤️ Legit seller! Gluta lipo very effective.. Specially when there is gatherings ang foods are just like always waving at you! You wave them back and slap this item in front of them i mean on the table😂 and you're free! 🤣 Free to eat😁"
60,5,"Thank you so much po, May freebie pa"
61,5,"Packed well and with freebies too. Thanks seller. This is a legit buy😁😁😁😁😁. I will order again"
62,5,Many times nko nag order dto laki na ng bawas timbang ko legit to shop n to thank you po lagi my freebies 👏😊😊😊😊😊
63,5,"My nth time purchasing this products. Legit product and legit seller! Surely will order again
"
64,5,authentic at a very affordable price
65,5,thank you sa freebie
66,5,Wow thank you dumating na order ko 3 days lang at salamt freebie na angle-e 👏👏👏
67,5,"Thank you seller, surely order to you next time. 100% for customer service 😊 tapos ang organize pa ng pagkakapackage nya with freebies pa. acceptable naman yung ibang mga box na nayupi, dahil na siguro yun sa transpo. but all in all, super nice and legit. for those people na naghahanap ng glutalipo, this store is one the best I recommend, thank you ulet seller😊
"
68,5,"Thank u seller for the fast and hassle transaction and also thank u po sa freebies na N95 mask..Godbless and Keepsafe 🥰🙏
"
69,5,"Thank you seller. Fast delivery 1 day lang. good packaging, good quality. I'll buy again. wait lng ulit ako free shipping. "
70,5,"thank u sa seller na toh.. super legit unang una ko tiningnan ung seal at d ako nbigo,hndi xa lukot at mgnda din ang packaging plus salamat din po sa free mask.. more order soon po Godbless.."
71,5,"thank you lazada  at lalo na kay seller legit na legit dto marami na akung nabilhan nang gluta lipo mas mabilis ang effect nya dto na ako bbili pag nauboz thanks seller sa pa free 😍😍😍🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟👍👍👍👍👍
"
72,5,"Effective for me. ilang months na din ako nagamit nito. once or twice a week lang ako umiinom."
73,5,"I got it as in the description, 2boxes of gluta lipo juice plus it comes with a freebie!!! 💯Legit!!!
"
74,5,"I would like to refund my money.delivered today and ninakaw ang itmes dapat 2 box glutalipo juice"
75,5,"Sana po effective thank you sa libre mask 😇😊"
76,5,"sobra sarap ng glutalipo juice nakakaadik inumin pangalwa order ko nato kay seller npakaayos ng packaging at super bilis ng delivery legit na legit talaga sya may pa free pa🥰"
77,5,"okay naman ung product. thnk u seller
"
78,5,Salamat po maganda nman ung pagkakalagay sa Kahon sa uulitin po oorder po ulit ako pag ubos na😇😇
79,5,"placed my order last April 20 and was delivered on April 22... it was packed well and there was even a free n95 face mask .. thank you seller 😊 and thank you, too mr. delivery man😊"
80,5,"thank you so much po 🥰😘😘♥️♥️ ang bilis po dumating agad ...
"
81,5,"seems legit to me. I dont remember how it reallt looked like when i ordered 2 yrs ago. but it looks the same as the other pictures here. thank you sa freebie!!
"
82,5,"☁😘😘☁😘😘☁
😘😘😘😘😘😘😘
😘😘😘😘😘😘😘
☁😘😘😘😘😘☁
☁☁😘😘😘☁☁
☁☁☁😘☁☁☁"
83,5,"salamat sa pah freebie...👍👍👍👍👍👍👍👍👍"
84,5,"thank You poh onefulllife ang bilis talga dumatin 
igave 5 ⭐⭐⭐⭐⭐"
85,5,"super effective. its been my nth time buying this product. the seller are also responsive & nice. the product is worth the price
"
86,5,"My second purchase. 😊 Effective sya sakin ❤️ thank you po sa freebies 😊😊😊
"
87,5,"Well packed & shipped immediately.. Kuddos One full life 👌
"
88,5,Items are complete. We'll packed. Delivered fast. It seems legit naman coz nakaka dedicate tlga Cia. Kailangan Lang talaga samaham ng diet and exercise ang pagpapa payat. Will surely order again to this store kapag naubos ko na. 😊
89,5,"very nice packaging with freebie pa 🥰thank you!
"
90,5,"Sorry for late rates medyo paubos na siya nasubukan qna rin ang coffee Ganda nakakatulong sa poops araw araw at Plat tummy 😊😊
"
91,5,"2nd order ko ng item na to. salamat din sa freebie.
"
92,5,"been buying this product for a long time now and its very effective. my husband and I loved it🥰
"
93,5,"Ambilis ng delivery.. Good job kay manung driver"
94,5,"Complete naman yung package and was shipped immediately. Yung effect daw is within the day.
"
95,5,"Thank u this is my 4th order thanks sa free mask 
"
96,5,"So far hindi ko pa na try ..... Pero maayos naman yung packaging.... Thank seller.......................... Update lang ako ng review pag na try ko na..................
"
97,5,"Ang bilis po, nadeliver agad, thank you seller and lex "
98,5,Arrived and received in good condition. Boxes sealed. Packed securedly. Complete. Legit. 
99,5,"fast shipping and delivery, well packed and complete ung order ko thanks sa pa free na facemask. thanks seller and lazada. "
100,5,"i recommend this seller very kind thanks and ngdeliver kay kuya always 5 star kau skin"
101,5,"well packed, fast delivery and correct item delivered.. may pafreebies pa si supplier..will surely order again. thank you. "
102,5,legit 💯
103,5,Thank you!! Well packaged siya! Walang yupi sa boxes! Got it on sale din kaya good catch! May pa freebie pa si seller na mask 
104,5,"Super effective nya. I lost 2kg within 1 week with diet. Dapat rin consistent ka para continuous ang weight lost and right diet.

Packaging was very good may box pa for protection. "
105,5,"Got it! With freebie na soap. ❤️ THANK YOU, SELLER!!! Will try this glutaLipo if papayat ako. ❤️ 5star coz of the freebie 😊"
106,5,thank you po sa seller my free pako at Kay Kuya delivery man na mabaiit😊
107,5,legit! Will order again. Ang bilis pa nya dumating.
108,5,thank you seller..bilis ng delivery may free aloe facial mask pa
109,5,"thank you po 😊"
110,5," Salamat po.. Bilis ng delivery.. "
111,5,Thanks ulit....🤩😍😍😍
112,5,nice packaging...may pafree pa..salamat lazada at seller..at kay ate n nagdeliver..salamat po
113,5,Nakabox siya nung dumating. Secured na secured tapos may freebie pa. Super bilis ng shipping. 1 day lang naship na agad
114,5,nice may pa freebies pero bakit ganon maasukal masyado yung glutalipo natural lang kaya yan
115,5,ang bilis ng deliver i ordered june 6 june7 dumating na yung items hopefully effective sya naka try na ako dati sobrang effective
116,5,"thank you
"
117,5,"Super legit!!!!! Thank you po! Thank you kay kuyang nagdeliver kahit sobrang hirap puntahan nung address namin nahanap nya agad. 😊 Will order again next time. 😊
Inspired by viy cortez vblog. ❤️
"
118,5,"ok naman po nakasealed ng ayos, yung nakabox kaya di nadamage mga inorder ko. for now yan muna first time ko gagamitin yung deo kaya observe ko muna bago ko bigay feedback ulit. salamat seller sa sunod uli 😁"
119,5,bkit ganito ung nareceive ko walng sticker . 
120,5,2nd time to order and its legit po 
121,5,"thank you for the freebie
"
122,5,Very good packaging. Arrive early... Thank you one full life 😘😘😘😘😄😄😄
123,5,fast delivery
124,5,legit talaga ito maganda sya very effective sa akin  5star kayo sa akin
125,5,hindibko na mabilang kong ilang beses n ako umorder sa onefulllife store. thank liget product.
126,5,good condition.
127,5,Packed well and naka box as always. Fast delivery too. Thank you seller!
128,5,"super effective ng product nato..many times na din ako omorder sa store nato. Legit, safe and secured. Thanks seller."
129,5,tanggap na po yong parcel in good condition naman po. will buy again soon. thank you po also to lazada & courier
130,5,Thank you po!!!
131,5,legit as always
132,5,"okay ang product
fast delivery
okay si kuyang rider
thankyou seller
happy costumer
5 stars "
133,5,last night nagtake Ng 1 sachet pa Lang Mrs ko. madaling araw pa Lang nag poop na sya. ngayong pang 3 beses na nya maglabas Ng sama Ng loob. Kahit  napakonti pa Lang kinakain or Kahit Wala pang kinakain talagang labas di mapipigilan. mas okay magtake Ng ganto pag stay at home talaga. Ang thank you seller. legit talaga to. kaya next time dito na oorder SI Mrs.
134,5,"well packaged and fast delivery...
with freebies as always... very effective and affordable ❤"
135,5,Ok naman yung product efdective sya thank you seller order ulit pag naubos 👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍
136,5,..................................... 👍👍👍.................................. 
137,5,well packed.fast delivery.thank you!
138,5,"thank you seller suki n po nio aq..❤️❤️❤️
legit po ang store n ito"
139,5,This is my 3rd order dto nko sa shop nato oorder gusto q ung lasa ng gluta nila at kay kua delivery napaka humble po.
140,5,"ok nman xa..nkaka p**p tlga,,kaya lng minsan sakto lng lasa minsan matamis,,minsan kunti mdami fiber minsan malabnaw."
141,5,well packaged and fast delivery talaga plus laging may freebies si seller ❤ Super sulit din and discounted ❤
142,5,its my second tym to order legit xa khit mrami ako kinakaen ndi nag gagain ung timbang ko. Pag naubos oorder ako ulit 😊
143,5,"thank you seller,, suki nio n po aq legit po ang shop n ito🥰❤️ ok po ang glutalipo juice,, dyo dn po ako naordr ng rejin❤️
thank you dn po s nagdeliver☺️"
144,5,Thank you so much po. Ang ganda ng packaging and ang bilis ng delivery. Sa susunod po ulit na order
145,5,suking suki ko na ang store na to lage may free facemask
146,5,Complete items and well packaged 
147,5,thank you..as always. dito ako lagi na order..ang super bilis ng delivery
148,5,"Well packaged and fast delivery. as in ❤
consistent naman siya and very legit ung item. thank you sa freebies seller 😍"
149,5,"eto po un store na lagi ko i oorderan ng glutha lipo
mabilis ang delivery and may pa freebies pa."
150,5,pumayat naba kayo na bumili?
151,5,Pangalawang beses ko na nagorder. Actually its my 5th time na nahinto lang. Legit items. Recommended plus minsa sale pa. 
152,5,Shipping and delivery were fast. kakaorder ko lang lahapon nadeliver agad! Complete items! Maayos ang pagkapackage. Thanks! 
153,5,3rd time to buy hiyang ko and always good service sila good packaging and on time will always buy here again
154,5,3rd times q n ata toh dito 👍
155,5,Thank you the. Additional freebies
156,5,Original and Good product 😊👍👍
157,5,I was so amazed there is flood water in our area but the courier still delivered the product. salute!
158,5,Good
159,5,Nice product p
160,5,"it is my second purchased,properly sealed and with free mask which i like the most :). "
161,5,as always lagi ako na order nito. and ang bait ng seller lagi may pa freebies. very effective siya sakin.
162,5,great product.. properly sealed and well-packed..i like the free mask too
163,5,"super effective,, for me this is useful after drinking glutalipo it feels great..............."
164,5,My 4th purchased in this shop..thumbs up👍
165,5,2nd purchase na. Laging on time ang delivery. Di ko sure kung nakakaputi or nakakapayat pero definitely nakakatulong sa constipation kaya di bloated lagi. Lagi din may freebies ang seller na mask. 👍
166,5,Still works
167,5,"Its been my 3rd time ordering
the package is well packed,delivered on time and it comes with freebies "
168,5,i will order again. thank you👍👍👍👍👍 
169,5,nka 3 order na aq...super effective
170,5,Sobrang epektib nya wag lang kumaen ng malakas para mabawasan talaga ang timbang salamat sa nag deliver
171,5,"Super legit❤️ At nakakatuwa kasi nakabox tlaga yung 2 Gluta lipo Juice drink na order ko. Dito na ko oorder sa shop na to. Super effective din pang 2 days ko ng gnagamit, mas effective kung bago matulog sa gabi inumin. Thank you seller and Lazada❤️❤️❤️ Di ko maupload ang pictures😞"
172,5,thanks po tlga seller na ito.... and sa lagi pa freebies ko
173,5,Packaged very well and wala man lang dents yung mga boxes pagdating. thank you and will surely buy again!
174,5,"maraming beses na akong nag order sa shop na to,
 so far tama po lahat ng orders na dumadating sakin,trusted na sya😊😊 "
175,5,my second order and will definitely order again
176,5,i love it. thanks sa freebie NA MASK :)
177,5,Very smooth transaction! 😊
178,5,bsosnsbdoddmdhsjdbxjdosme dufbrofkfhwnskssbdbdjdjdndkdkwnwjsodjdndidjbrhsvevgagwvakaamnshdudhdhdjdhbdjdjxnxjdodjdnxjixjxjdjxjxbxjsoawmdnkdidbdhjdbehxbwiwkmshxgbwisdbskoxndjdod
179,5,4x ko na mag order legit po 💙
180,5,On time dumating..authentic....tnx din sa pa free mask
181,5,"𝖱𝖾𝖼𝖾𝗂𝗏𝖾𝖽 𝖺𝗅𝗋𝖾𝖺𝖽𝗒. 𝖥𝖺𝗌𝗍 𝖽𝖾𝗅𝗂𝗏𝖾𝗋𝗒 𝖺𝗌 𝗎𝗌𝗎𝖺𝗅 :) 𝖬𝖾𝖽𝗒𝗈 𝗒𝗎𝗉𝗂 𝗒𝗎𝗇𝗀 𝖻𝗈𝗑𝖾𝗌 𝗉𝖾𝗋𝗈 𝗈𝗄 𝗉𝖺 𝗋𝗂𝗇 𝗇𝖺𝗆𝖺𝗇. 𝖳𝗁𝗂𝗌 𝗍𝗂𝗆𝖾 𝗇𝖺𝗄𝖺 𝗋𝖾𝖼𝖾𝗂𝗏𝖾𝖽 𝗇𝖺 𝗋𝗂𝗇 𝖺𝗄𝗈 𝗇𝗀 𝖿𝗋𝖾𝖾𝖻𝗂𝖾, 𝗍𝗁𝖺𝗇𝗄 𝗎! "
182,5,Ang bilis ng delivery. Okay din ang packaging. I’m so happy 😁 thank you seller 👍🏻👍🏻👍🏻👍🏻👍🏻
183,5,nice product...ang ganda nya....magaan s pakiramdam at masarap un product...oorderulit ako
184,5,Veey effective sa amin 💯 %
185,5,"well packed and fast delivery, thank u sa freebies.."
186,5,effective siya sakin. mabilis ang delivery and well packed ang item
187,5,ang ganda ng packing at may freebies na thank youl..
188,5,da package is good... by why the price. it's not  proper . I saw the 485....bakit ganun... po  but I pay 528.. 
189,5,"the product is legit, kudos to seller and thanks din lazada and sa delivery guy..5 stars"
190,5,this is my 3rd time na omorder ng product na ito. ok nmn siya sakin. na kaka detox siya. and mabilis ang deliver
191,5,Thank you very much seller!!! Fast shipping and with freebies...
192,5,so so very nice  packaging
193,5,its my nth times purchase in this store..the seller is so accommodating. ds product works on me... authentic 👍👍👍
194,5,Thanks to the legit producr as always and FREEBIES yehey more than 20 times of recorders ever! 😘 
195,5,One time pa lang ako umiinom and kinabukasan humilab agad ang tiyan ko
196,5,okay naman po siya pagkainom ko poops agad ng malala hahaha feeling malinis ang katawan will order again.
197,5,The items came ao fast. Nakabalot siya ng maayos. Hindi ko pa siya na try.  We'll see if its really effective. Thank you seller
198,5,i order again pag nramdamn ko n result
199,5,legit sya. salamat seller. will order again pag naubos ung orders ko. mabilis din delivery
200,5,Smooth transaction! Well-packaged and came with a freebie (mask). Thank you seller and kuya rider
201,5,"Securely packed. Tried one sachet and seems the effect to me is as what I read. I have been reading up on its benefits and warnings on fake goods. I have no point of comparison yet since this is my first buy. 

I am not a believer in weight loss without any exercise which I sorely lack during this pandemic. However if these nutrients will help in my health, it is good enough for me."
202,5,maganda ang pagkakabalot at safe na safe pa.. sana effective sa akin to.. para ito na ang lage kung gagamitin salamat seller #onefulllife
203,5,Legit sya
204,5,hopefully it is effective.. though my bowel habit changes
205,5,thank you... will order again 
206,5,good products. thanks sa freebie😊
207,5,tenchuu sa free!!
208,5,"Thank you so much seller, I was delighted with this product😊"
209,5,thank you ang bilis po ng delivery and good condition.
210,5,The package is in good condition. Thank you so much. 
211,5,"Delivery on time..naka plastic wrap sya.wala pa aq nakikitang kakaiba bukod sa poop aq ng 3x 4x ?pa nga ata un ka gawa ung isang sachet ginagawa qng sang inuman sa isang malaking baso..sa sang gabi, naka 5 sachet nako kaso bakit ganun parang tumatakaw ang effect? Hehehe nag try kc aq ng burn slim parang mas ok un kc talaga nalililessen ang kain mo hehehe pero let see qng mababawasan aq ng timbang d2 mag bgay ulet aq ng reviews po..tnx and godbless po.."
212,5,package is so secured and makakasiguro ka talagang legit!! thank you seller 💖
213,5,Legit ❤️ Same yung effect sa mga nauna kong nabili 😊 Well packed din at mabilis ang delivery 😊
214,5,sana po ayy may magandang result saakin
215,5,Ang bilis dumateng ng item. Smooth transaction😍😍😍😍😍😍😍😍💗💗💗💗💗💗💗💗💗💗💗 I will order again
216,5,fast delivery 2 days q n xa iniinom at effective nmn xa sakin nawawalan aq ng ganang kumain...thank u so much seller ☺️☺️
217,5,Items are really legit and it is shipped sooner than expected plus safely packed. Kudos One full life 👍
218,5,Fast delivery. Thank you so much sa freebeeeee! 😊
219,5,Thank you for the freebie💗
220,5,not sure if effective talaga sa akin. pero sobrang laking tulong para maging regilar ung bowel movement ko.siguro need talaga sabayan ng exercise ang proper diet para mas makita ung pagpayat effect. thank you seller sa freebie 😊
221,5,Always perfect and with a bonus facial mask. Thank you seller!
222,5,nice packeging and ang bilis dumating ng ordrr ko..I hope legit talaga ito kasi i will order definitely..Naka take na ako nito kaso di ko lang makita supplier ko kasi nag delete ako sana okay din ito at effective...
223,5,thank you bilis dumating ng order ko lagi thank you din sa delivery rider lagi xa ang nag deliver sa bahay😊
224,5,will order again...
225,5,legit talaga salamat lovvvvvvvvvvvvvvvvvvveeeeeeeeeeee it 😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍
226,5,"😊effective"
227,5,"effective"
228,5,my 2nd order.. satisfied customer here 😊
229,5,super effective for me.. will surely order again..
230,5,thanks seller super duper satisfied legit na legit talaga Ang product nio I will order again soon thanks
231,5,"ordered last 2/16 and it was delivered today..ang bilis. well sealed.hindi yupi ang boxes. thanks seller.
will order again if effective sa kin 😊"
232,5,"Very fast delivery! Ordered on 2/12 and delivered on 2/13. Nakabox at secured yung items kaya iwas yupi yupi. Unlike dun sa dati kong binilhan ng ganito, nkapalastic lang tpos pag dating yupi yuli at tampered na yung seal. Mas mapapalagay kang legit ang products . Thank you, seller. Will order again."
233,5,Good product. Really cleanses your tummy and feel light after. Good to take if you indulge yourself for the day
234,5,"super fast delivery. kakaorder ko lang kahapon, andito na agad. thanks seller!"
235,5,Effective
236,5,Gluta lipo juice is a great product. Now I want to try the gluta lipo coffee.Lets  see if they have the same effect. 
237,5,"Fast delivery as usual, repeat buyer here"
238,5,"2nd purchased 😍
☺️☺️☺️☺️☺️☺️☺️☺️☺️☺️☺️☺️☺️☺️☺️☺️☺️☺️☺️☺️☺️☺️☺️☺️☺️☺️☺️☺️☺️☺️happy buyer here😄"
239,5,well packed! salamat sa freebie na kn95 facemask. legit.
240,5,Thank sa freebies na mask...
241,5,ulit uli suki
242,5,🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️
243,5,"thank you one full life store,, legit k talaga,,, madami n po aq naorder s eu,, thank you so much po
more than 5 stars po kayo s akn..also ky suki nagdedeliver☺️
god bless us all po🙏"
244,5,Fast delivery. I received the item in good condition 😊
245,5,Ang bilis ng delivery order po ako ulit sainyo 👍👍👍
246,5,very good product. really effective. 3 nights  ko pa lang iniinom. kta na ang resulta. detox na. bibili ulit ako. 
247,5,tried once and ok naman ung effect sakin. hindi lang ganun sa ineexpect ko na mayat maya pupunta ng cr. like other says. well dapat rin natin sabayan ng exercise toh actually. :) thank you seller
248,5,"very nice product and very good handling. arrived on time. kudos seller!
asdfghjklasdfghjklasdfghjkkl"
249,5,thanks sana pumayat ako☺️☺️
250,5,i stopped.using it after 1 sachet coz hindi ko kaya yung lbm effect
251,5,Twice nako nag order dito. Legit! Medyo na delay lang yung pag ship this time. 
252,5,Okay mganda legit yung product and very effective sakin from 81kg down to 72kg after take 2boxes thank you seller nice packaging my free mask pa my order po ako ulit thank you godbless...
253,5,nice packaging. will order again. 
254,5,the best packaging nakaseal pa sa box unlike sa iba hiwa hiwalay ung sachet dito nkabox na may seal pa. thank you
255,5,very effective 
256,5,good quality nmn ung product and thank you sa po sa freebies seller good bless kht gabi na deliver prin ung order ko salamt😊😊
257,5,Thank you for the fast delivery and the free item. 
258,5,nakakabilid itonng seller na ito kaoorder lang ng friday kinabukasan nandyan na order ko. na try kuna sya so effective nga talaga sya 2 to 3 times akong nagpopoo.lumiit nanang konti ang tyan ko grabe talaga itong glutalipo. keep up the good work.👍👍👍 till next order again😊
259,5,"super worth the price, pagkakainom ko ramdam ko agad ang paghilab ng tyan ko"
260,5,Legit seller. Packed very well with freebie pa. thank you!
261,5,finally i got my order thank u so much 
262,5,Masarap sya matamis nga lang. Legit na mapapadumi ka higit sa isang beses a day. 
263,5,sobrang tagal dumating. ilang beses ako nag chat sa seller  ayaw man lang mag reply. December 29 ako umorder dumating ng January 11. Marami akong nakitang videos ni doc adam about da product na ito pero susubukan ko paring gamitin kung effective ba talaga o hindi. Sana naman next time mag reply kayo po. 
264,5,product received😍thanks Lazada and sa seller😊God bless
265,5,Ganda ng packaging. Nasa box mismo yung iba nakahiwalay sa box. Sana effective hahaha
266,5,legit product
267,5,"ang bilis dumating agad yung order ko, kita nman nka sealed p kaya 5s. "
268,5,bkt iba yung box na pinadala nyo?
269,5,"its my 4rd order ,and legit naman siya. may freebies always."
270,5,"Thank you po :) Sobrang tiwala talaga ako sa inyo . 
Thank you din po sa freebies nyo . Godbless po sa store nyo :) "
271,5,ok nmn po sya...tnx sa mabilis na pag deliver
272,5,Thank you so much!  Super legit will order again. 
273,5,legit! babalik balikan talaga na shop 
274,5,Haven't tried tge product yet. But I hope this will be effective to me
275,5,sobra tamis niya at saka hinde ako gaano na pupu
276,5,"suki na ko ng shop na to. legit lahat ng binibenta nila lalo na mga gluta lipo products. mabilis magship at may pafreebie pa. thanks much"
277,5,"I received the item 🤗, at naka box po sya sure safe po ng item. Thank you and God bless ❤️"
278,5,thank you❤️❤️❤️❤️ may pa freebie pa😊😊😊 ang bilis ng deliver😍😍😍
279,5,thank you good product sobrang bilis ng deliver 🥰🥰🥰 costumer satisfy 🥰🥰
280,5,good job po kay seller. well packed siya. kahapon ko lang siya inorder andito na po agad. may free BURN juice pa. excited to drink it and see the results! thank you. mukhang uulit ako. 
281,5,"Super fast delivery. By the way,when is the best time to drink the gluta lipo? Thanks"
282,5,my brother is using it and he said it is legit because of the expected effects. thank you
283,5,ayos naman bbili.ako ult
284,5,Very effective!
285,5,fast shipping 
